"nombre";"ultimoClub";"nuevoClub";"coste";"mercado";"IDF";"ID"
"Florent Hadergjonaj";"FC Ingolstadt";"Huddersfield";5000000;"VERANO";346;220620
"Moses Simon";"KAA Gent";"Levante UD";5000000;"VERANO";348;216820
"Benedikt Höwedes";"FC Schalke 04";"Loko Moskva";5000000;"VERANO";349;179784
"Carlos Vela";"Real Sociedad";"Los Angeles FC";5000000;"INVIERNO";350;169416
"Jonathan Ikoné";"Paris SG";"LOSC Lille";5000000;"VERANO";351;234612
"Christophe Hérelle";"Troyes";"OGC Nice";5000000;"VERANO";353;208449
"Lenny Pintor";"Stade Brestois";"Olymp. Lyonnais";5000000;"VERANO";354;240941
"Juan Bernat";"Bayern Múnich";"Paris SG";5000000;"VERANO";355;205069
"Álvaro García";"Cádiz CF";"Rayo Vallecano";5000000;"VERANO";356;216447
"Luca Waldschmidt";"Hamburgo";"SC Freiburg";5000000;"VERANO";359;220085
"Sergi Gómez";"Celta de Vigo";"Sevilla FC";5000000;"VERANO";360;199577
"Rémy Cabella";"Marseille";"St-Étienne";5000000;"VERANO";361;193476
"Firmin Mubele";"Rennes";"Toulouse";5000000;"VERANO";362;218970
"Fabrício";"Portimonense";"Urawa Reds";5000000;"VERANO";364;202350
"Gonzalo Castro";"Bor. Dortmund";"VfB Stuttgart";5000000;"VERANO";365;174379
"Jérôme Roussillon";"Montpellier";"VfL Wolfsburg";5000000;"VERANO";366;202562
"Adam Masina";"FC Bologna";"Watford";5000000;"VERANO";367;225410
"Dodi Lukebakio";"RSC Charleroi";"Watford";5000000;"INVIERNO";368;231416
"Ahmed Hegazy";"Ahly";"West Brom";5000000;"INVIERNO";369;210648
"Rafael Silva";"Urawa Reds";"WH Zall";5000000;"INVIERNO";370;207676
"Orlando Sá";"Standard Lieja";"HN Jianye";4800000;"INVIERNO";372;184136
"Jasmin Kurtic";"Atalanta";"SPAL";4800000;"VERANO";373;202061
"Augusto Fernández";"Atlético Madrid";"BJ Renhe";4500000;"INVIERNO";375;176915
